,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
395,gadhiya_hema,,,1396,211,36687,27,"Giveaways for All!🎁
Enter now and the reward shall be yours.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #giveawaytime #wincash #winrealcash https://t.co/0SEzDwRgsL","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame']"
396,gadhiya_hema,,,1396,211,36687,9,"Brace yourself to win BIG! 🎁
Hurry! Post your answer in the comment section below.
#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #RCBvsMI #MIvsRCB #RCB https://t.co/Gptp2TXgmR","['sprintersonlinegames', 'fantasy']"
397,gadhiya_hema,,,1396,211,36687,0,"@GamesSprinters ➡️  GUJARAT TITANS

@GamesSprinters

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL

Join here friends
@MayurMa46334426
@ramsapra54
@RubyAga9339","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL']"
398,gadhiya_hema,,,1396,211,36687,2,"An amazing surprise awaits you!🎁
Just give the right answer and the prize shall be yours.
will be rewarded with amazing cash rewards! 💰💰
Post your answer in the comment section below.
#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL https://t.co/C9TR5LKXo8",[]
399,gadhiya_hema,,,1396,211,36687,0,"@GamesSprinters ➡️  GUJARAT TITANS

@GamesSprinters

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL

Join here friends
@MayurMa46334426
@ramsapra54
@RubyAga9339","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL']"
400,MohitC10,Engineering student | die heart Manchester united fan | foodie | freestyle football player |,India,365,255,3581,27,"Giveaways for All!🎁
Enter now and the reward shall be yours.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #giveawaytime #wincash #winrealcash https://t.co/0SEzDwRgsL","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame']"
401,EzioDoley7,,,10,0,29,181,"The game's public beta is coming soon! 😯

Just under 30 days then we can all try the game out! 🕹🎮

Be sure to follow us for more sneak peaks at gameplay and champion showcases!! 😝💥

#Moba #Mobilegame #Onlinegame #videoGame #sneakpeak #Trailer https://t.co/BGABWTPNHx",[]
402,ennomnom,App Business - Developer & Marketing,,9084,6470,191908,12,"Build your own military base.
👉Bomber Phantom👈 https://t.co/M3cUKBOPgb #MobileGame #gamer #gamergirl #BomberPhantom #gamers #MobileGamer #MobileGamers #GamerGirls #OnlineGame #OnlineGamer #onlinemobilegame #mobilegaming #indiegames #indiegame #indiedev #gamedev #gamedevs https://t.co/d14z9CCIVc","['MobileGame', 'gamer', 'gamergirl', 'BomberPhantom', 'gamers']"
403,ARealHumanName1,"Learning how to be human by watching movies about androids pretending to be human.
Follow me to get free #unity3D assets and hear about #UnityAssetStore deals",Earth?,26,1846,195300,12,"Build your own military base.
👉Bomber Phantom👈 https://t.co/M3cUKBOPgb #MobileGame #gamer #gamergirl #BomberPhantom #gamers #MobileGamer #MobileGamers #GamerGirls #OnlineGame #OnlineGamer #onlinemobilegame #mobilegaming #indiegames #indiegame #indiedev #gamedev #gamedevs https://t.co/d14z9CCIVc","['MobileGame', 'gamer', 'gamergirl', 'BomberPhantom', 'gamers']"
404,DJangjou,"2d gamedeveloper
https://t.co/hFLWZm6TxE",,51,13,20,12,"Build your own military base.
👉Bomber Phantom👈 https://t.co/M3cUKBOPgb #MobileGame #gamer #gamergirl #BomberPhantom #gamers #MobileGamer #MobileGamers #GamerGirls #OnlineGame #OnlineGamer #onlinemobilegame #mobilegaming #indiegames #indiegame #indiedev #gamedev #gamedevs https://t.co/d14z9CCIVc","['MobileGame', 'gamer', 'gamergirl', 'BomberPhantom', 'gamers']"
405,SolbotEnergyRsh,Supporting #indie #indiegames #gamedev @FreakoutGames Patreon: https://t.co/NDSQwpPfRE,,181,1122,54775,12,"Build your own military base.
👉Bomber Phantom👈 https://t.co/M3cUKBOPgb #MobileGame #gamer #gamergirl #BomberPhantom #gamers #MobileGamer #MobileGamers #GamerGirls #OnlineGame #OnlineGamer #onlinemobilegame #mobilegaming #indiegames #indiegame #indiedev #gamedev #gamedevs https://t.co/d14z9CCIVc","['MobileGame', 'gamer', 'gamergirl', 'BomberPhantom', 'gamers']"
406,LOWE_OFF,#PPFF #MMM Crypto Addict #BTC G_Raff 👉 https://t.co/op5OFC8Xck 🦒🚀 #KongoKingzGang ✊,Planète Terre 🌏🌍🌎,81,19,189,9,"👀A sneak-peek of NFTSTAR Mataverse play-to-earn football game.🧐

How do you like it?

#NFTSTAR #NFT #Metaverse #Metagoal #P2E #onlinegame #GamiFi #Football #Soccer #role #match #fantasyfootball #sneakpeek https://t.co/uBtda51fDF","['NFTSTAR', 'NFT', 'Metaverse', 'Metagoal']"
407,Deepanshu566605,"Books Finance Music 🎶  portoflio
Personal finance Banking  Money Market
Tech Lover Edtech Startup Gaming
Classic Web 3. Marketing Stocks","Sonipat, India",5003,1068,35523,0,"@GamesSprinters @KDivya18740584 Chennai Super Kings
@GamesSprinters
#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #CSKvsSRH #SRHvsCSK #dhoni #jadeja","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'CSKvsSRH', 'SRHvsCSK', 'dhoni', 'jadeja']"
408,Deepanshu566605,"Books Finance Music 🎶  portoflio
Personal finance Banking  Money Market
Tech Lover Edtech Startup Gaming
Classic Web 3. Marketing Stocks","Sonipat, India",5003,1068,35523,11,"Play like a champion. Win like a champion. 🎯🏆
Comment the right answer and take the amazing reward to your home!

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #CSKvsSRH #SRHvsCSK #dhoni #jadeja https://t.co/PK4AJpBoNr",[]
409,GameDevMiniBot1,"A bot that retweeting with hashtag #indiedev #indiegame.
I'm friendly, followback.",,1415,1414,86824,12,"Build your own military base.
👉Bomber Phantom👈 https://t.co/M3cUKBOPgb #MobileGame #gamer #gamergirl #BomberPhantom #gamers #MobileGamer #MobileGamers #GamerGirls #OnlineGame #OnlineGamer #onlinemobilegame #mobilegaming #indiegames #indiegame #indiedev #gamedev #gamedevs https://t.co/d14z9CCIVc","['MobileGame', 'gamer', 'gamergirl', 'BomberPhantom', 'gamers']"
410,taromar7,Game studio,,16,5,26,12,"Build your own military base.
👉Bomber Phantom👈 https://t.co/M3cUKBOPgb #MobileGame #gamer #gamergirl #BomberPhantom #gamers #MobileGamer #MobileGamers #GamerGirls #OnlineGame #OnlineGamer #onlinemobilegame #mobilegaming #indiegames #indiegame #indiedev #gamedev #gamedevs https://t.co/d14z9CCIVc","['MobileGame', 'gamer', 'gamergirl', 'BomberPhantom', 'gamers', 'MobileGamer', 'MobileGamers', 'GamerGirls', 'OnlineGame', 'OnlineGamer', 'onlinemobilegame', 'mobilegaming', 'indiegames', 'indiegame', 'indiedev', 'gamedev', 'gamedevs']"
411,Bot_Football,"Football News.
#Football #Soccer #Followback",,12732,14092,569789,0,"What is Trophy Manager? https://t.co/BeXQ5b2DHe #TrophyManager #football #soccer #game #onlinegame
Sign up https://t.co/AGGrCSPmqe","['TrophyManager', 'football', 'soccer', 'game', 'onlinegame']"
412,Reshma53385403,Reshma khan,Asifabad Chandpura bulandshahr,2317,42,1884,27,"Giveaways for All!🎁
Enter now and the reward shall be yours.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #giveawaytime #wincash #winrealcash https://t.co/0SEzDwRgsL","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame']"
413,RH_jain,🙂,,549,39,4706,27,"Giveaways for All!🎁
Enter now and the reward shall be yours.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #giveawaytime #wincash #winrealcash https://t.co/0SEzDwRgsL","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame']"
414,farkainistas,Destroy or be destroyed-there is no middle way! Let us then be the destroyers!,,351,374,1589,2,"Planet BOXIPP is ready to be discovered❗
Complete the required amount of boards and prove yourself worthy of going to the next level!

🛰Click and Play NOW!
⏭ https://t.co/K00haERZLU

#BOXIPP #Boxippians #BlowUpYourMind #puzzlegame #mindgame #onlinegame #casualgame #gaming https://t.co/y9LWjeMw2b",[]
415,KDivya18740584,positive girl,"Patiala, India",3125,1513,63546,0,"@GamesSprinters Chennai Super Kings
@GamesSprinters
#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #CSKvsSRH #SRHvsCSK #dhoni #jadeja
Tag @NiharikaMajumd4 @AbhishekIPLFeak @JasoosShow @PampaDutta11","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'CSKvsSRH', 'SRHvsCSK', 'dhoni', 'jadeja']"
416,KDivya18740584,positive girl,"Patiala, India",3125,1513,63546,11,"Play like a champion. Win like a champion. 🎯🏆
Comment the right answer and take the amazing reward to your home!

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #CSKvsSRH #SRHvsCSK #dhoni #jadeja https://t.co/PK4AJpBoNr",[]
417,GunnuDeora,😊,"sumerpur, India ",2836,652,47046,27,"Giveaways for All!🎁
Enter now and the reward shall be yours.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #giveawaytime #wincash #winrealcash https://t.co/0SEzDwRgsL","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame']"
418,kashRjn9630,I m princess....,"Patiala, India",2421,569,29928,27,"Giveaways for All!🎁
Enter now and the reward shall be yours.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #giveawaytime #wincash #winrealcash https://t.co/0SEzDwRgsL","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame']"
419,WitsToken,This is a digital card game where players build up a collection of cards with various abilities and use them to battle other players.  #witstoken #nftgame #nfts,Australia,889,5976,77,0,"Wits Token is a user-friendly gaming platform where you can play &amp; Earn tokens.Start Game and earn Token⏩⏩

Join now..!!🤩

https://t.co/gtnTpoipPq✅

#witstoken #NFTS #games #chancetowin #gamers #fighting #InnovativeGames #earn #gamingclips #game #onlinegame
#NFT #playgames https://t.co/r5XfjMeLS3","['witstoken', 'NFTS', 'games', 'chancetowin', 'gamers', 'fighting', 'InnovativeGames', 'earn', 'gamingclips', 'game', 'onlinegame', 'NFT', 'playgames']"
420,Baidhyan1Rishav,The flawed moon that gives light to darkness in the hope to make the night mesmerizing.,"Deoghar Jharkhand, India",1214,149,10202,27,"Giveaways for All!🎁
Enter now and the reward shall be yours.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #giveawaytime #wincash #winrealcash https://t.co/0SEzDwRgsL","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame']"
421,Baidhyan1Rishav,The flawed moon that gives light to darkness in the hope to make the night mesmerizing.,"Deoghar Jharkhand, India",1214,149,10202,0,"@GamesSprinters GUJARAT TITANS. 🤞

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #winrealcash

Tag:-
@Nehathegreat1
@cool_bindra
@RajeshHegdeBlr
@itspalak18
@Kumarivaishali9","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'fantasycricket', 'winbig', 'fantasysports', 'IndianPremierLeague', 'GIVEAWAY', 'winrealcash']"
422,Baidhyan1Rishav,The flawed moon that gives light to darkness in the hope to make the night mesmerizing.,"Deoghar Jharkhand, India",1214,149,10202,8,"Enter to win!   🎁
Comment the right answer to win amazing rewards.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #lucknowsupergiants  #fantasysports #IndianPremierLeague https://t.co/P3CbRD32Zj","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame']"
423,BlueAriesCoin,Prepare yourself!!,"Niagara-on-the-Lake, Ontario",86,98,557,181,"The game's public beta is coming soon! 😯

Just under 30 days then we can all try the game out! 🕹🎮

Be sure to follow us for more sneak peaks at gameplay and champion showcases!! 😝💥

#Moba #Mobilegame #Onlinegame #videoGame #sneakpeak #Trailer https://t.co/BGABWTPNHx",[]
424,PUNITBAGLA,INTO TEACHING❤ PROFESSION SINCE 2004,"Mumbai, India",564,98,4860,0,"@GamesSprinters 👉🏼 SUNRISERS HYDERABAD ✅✅✅

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #CSKvsSRH #SRHvsCSK #dhoni #jadeja

Join Guys
@JiteshZaveri
@Jinesh468
@gautamdoshi99
@HJ2188
@satyapaljain_86","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'CSKvsSRH', 'SRHvsCSK', 'dhoni', 'jadeja']"
425,PUNITBAGLA,INTO TEACHING❤ PROFESSION SINCE 2004,"Mumbai, India",564,98,4860,11,"Play like a champion. Win like a champion. 🎯🏆
Comment the right answer and take the amazing reward to your home!

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #CSKvsSRH #SRHvsCSK #dhoni #jadeja https://t.co/PK4AJpBoNr",[]
426,Karolineboettc3,,,0,0,338,0,#Beyonce everyone knows you abused your #Illuminati connection to find the #SchoolShooter via an #OnlineGame plattform &amp; for the record all your activities being monitored &amp; stored for your #CourtHearing stop using kids to safe your ass you caused #Covid19 #YouWontSurviveTheTruth,"['Beyonce', 'Illuminati', 'SchoolShooter', 'OnlineGame', 'CourtHearing', 'Covid19', 'YouWontSurviveTheTruth']"
427,MONA_VALLECHA,,,1298,124,11186,8,"Enter to win!   🎁
Comment the right answer to win amazing rewards.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #lucknowsupergiants  #fantasysports #IndianPremierLeague https://t.co/P3CbRD32Zj","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame']"
428,36Q47394077,"I'm Kitsuneya! 狐屋
I will provide information on Japan！⛩
If you like Japan, please get along with me.　
Japanese living in Japan.🗾🎌",,558,152,8549,0,"Do you spend money on online games? do not use?

「お金」Do everyone charge for online games?
https://t.co/qgIbKEntjV………

#Japanese
#japan
#onlinegame
#money https://t.co/IW6mgVOG2W","['Japanese', 'japan', 'onlinegame', 'money']"
429,ManojSoni04,𝑫𝒐 𝑮𝒐𝒐𝒅 𝑯𝒂𝒗𝒆 𝑮𝒐𝒐𝒅,"Gurgaon, India",1911,166,23891,11,"Play like a champion. Win like a champion. 🎯🏆
Comment the right answer and take the amazing reward to your home!

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #CSKvsSRH #SRHvsCSK #dhoni #jadeja https://t.co/PK4AJpBoNr",[]
430,ManojSoni04,𝑫𝒐 𝑮𝒐𝒐𝒅 𝑯𝒂𝒗𝒆 𝑮𝒐𝒐𝒅,"Gurgaon, India",1911,166,23891,0,"@GamesSprinters Chennai Super Kings
@GamesSprinters
#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #CSKvsSRH #SRHvsCSK #dhoni #jadeja
Join Friend's
1. @SonaliBera
2. @PallabiOfficial
3. @Prerna98765
4. @GoldQueenie4","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'CSKvsSRH', 'SRHvsCSK', 'dhoni', 'jadeja']"
